Algorithm,Best Distance,Iterations,Route
Recherche aléatoire,5292.323169569145,100,"[0, 9, 8, 1, 6, 15, 13, 17, 4, 19, 14, 16, 12, 10, 3, 18, 11, 7, 2, 5, 0]"
Recherche aléatoire,4509.822000961939,100,"[0, 16, 10, 5, 13, 11, 2, 3, 12, 18, 8, 14, 17, 19, 15, 6, 7, 1, 9, 4, 0]"
Recherche Recuit-Simulé,3783.586587888309,1000,"[0, 12, 4, 16, 7, 3, 10, 18, 11, 13, 5, 2, 6, 19, 8, 15, 1, 9, 17, 14, 0]"
Recherche aléatoire,4583.131166071978,1000,"[0, 18, 3, 10, 12, 2, 16, 13, 6, 11, 7, 1, 17, 8, 14, 9, 19, 4, 5, 15, 0]"
Recherche aléatoire,4113.509983922989,1000,"[0, 16, 4, 19, 1, 17, 14, 15, 12, 9, 8, 2, 18, 13, 3, 11, 6, 10, 7, 5, 0]"
Recherche aléatoire,4118.629400811985,1000,"[0, 19, 7, 13, 6, 3, 4, 9, 8, 14, 15, 1, 17, 10, 16, 2, 11, 5, 18, 12, 0]"
Recherche aléatoire,4357.491935075685,1000,"[0, 5, 3, 18, 13, 1, 14, 4, 8, 17, 9, 15, 19, 10, 6, 11, 16, 12, 7, 2, 0]"
Recherche aléatoire,4260.716160326892,1000,"[0, 8, 17, 1, 9, 18, 7, 2, 12, 6, 16, 10, 11, 13, 3, 5, 19, 4, 14, 15, 0]"
Recherche aléatoire,4468.739627772302,1000,"[0, 16, 2, 5, 13, 18, 7, 11, 10, 12, 8, 17, 6, 3, 4, 19, 9, 15, 1, 14, 0]"
Recherche aléatoire,5372.503795403247,100,"[0, 10, 13, 17, 14, 19, 18, 6, 4, 12, 11, 8, 1, 15, 9, 16, 2, 5, 3, 7, 0]"
Recherche aléatoire,3943.801137020133,1000,"[0, 10, 7, 2, 11, 18, 13, 3, 6, 17, 1, 15, 14, 9, 8, 12, 4, 19, 16, 5, 0]"
Recherche aléatoire,3973.77889385625,10000,"[0, 12, 5, 9, 17, 8, 14, 1, 15, 19, 6, 2, 3, 10, 11, 4, 7, 16, 13, 18, 0]"
Recherche Recuit-Simulé,2806.160626948221,50000,"[0, 6, 5, 13, 18, 3, 11, 2, 10, 14, 1, 8, 9, 17, 15, 19, 4, 16, 7, 12, 0]"
Recherche Recuit-Simulé,2389.6431059966144,50000,"[0, 4, 12, 16, 6, 7, 10, 11, 3, 2, 5, 13, 18, 17, 9, 8, 1, 14, 15, 19, 0]"
Recherche Recuit-Simulé,2832.236230510395,50000,"[0, 6, 5, 18, 13, 16, 19, 15, 14, 1, 8, 9, 17, 4, 7, 10, 11, 3, 2, 12, 0]"
Recherche Recuit-Simulé,2561.737491279025,50000,"[0, 4, 19, 12, 7, 6, 16, 13, 18, 5, 2, 3, 11, 10, 15, 17, 9, 8, 1, 14, 0]"
Recherche Recuit-Simulé,2438.410455189755,50000,"[0, 15, 14, 1, 8, 9, 17, 19, 7, 10, 11, 3, 2, 5, 18, 13, 6, 16, 12, 4, 0]"
Recherche Recuit-Simulé,2534.1597825594013,50000,"[0, 4, 19, 17, 9, 8, 1, 14, 15, 12, 7, 10, 11, 3, 2, 6, 16, 5, 18, 13, 0]"
Recherche Recuit-Simulé,2481.0733927223578,50000,"[0, 17, 9, 8, 1, 14, 15, 19, 13, 18, 5, 2, 3, 11, 10, 6, 16, 7, 12, 4, 0]"
Recherche Recuit-Simulé,2550.5061805388946,50000,"[0, 4, 19, 12, 7, 6, 16, 13, 18, 5, 2, 3, 11, 10, 17, 9, 8, 1, 14, 15, 0]"
Recherche Recuit-Simulé,3287.0323374813497,50000,"[0, 12, 7, 10, 2, 11, 3, 19, 6, 16, 5, 18, 13, 1, 9, 8, 17, 14, 4, 15, 0]"
Recherche Recuit-Simulé,3249.218660801868,50000,"[0, 5, 10, 11, 7, 3, 2, 6, 18, 13, 12, 16, 19, 4, 14, 17, 1, 9, 8, 15, 0]"
Recherche Recuit-Simulé,2347.723462617017,50000,"[0, 4, 19, 15, 14, 1, 8, 9, 17, 16, 6, 13, 18, 5, 2, 3, 11, 10, 7, 12, 0]"
Recherche Recuit-Simulé,2621.667905522905,50000,"[0, 12, 4, 19, 15, 17, 9, 8, 1, 14, 16, 7, 6, 13, 18, 5, 2, 3, 11, 10, 0]"
Recherche Recuit-Simulé,2536.2029345220244,50000,"[0, 12, 16, 13, 18, 5, 6, 7, 10, 11, 3, 2, 19, 17, 9, 8, 1, 14, 15, 4, 0]"
Recherche Recuit-Simulé,2446.118634464391,50000,"[0, 14, 1, 8, 9, 17, 15, 12, 7, 10, 11, 3, 2, 5, 18, 13, 6, 16, 19, 4, 0]"
Recherche Recuit-Simulé,2480.484130561545,50000,"[0, 4, 15, 14, 1, 8, 9, 17, 19, 10, 11, 3, 2, 18, 13, 5, 6, 16, 7, 12, 0]"
Recherche Recuit-Simulé,2370.014104945321,50000,"[0, 12, 7, 10, 11, 3, 2, 5, 18, 13, 6, 16, 4, 19, 15, 14, 1, 8, 9, 17, 0]"
Recherche Recuit-Simulé,2715.1012691627243,50000,"[0, 12, 7, 10, 11, 3, 2, 6, 4, 19, 15, 14, 1, 8, 9, 17, 18, 13, 5, 16, 0]"
Recherche Recuit-Simulé,2400.9303128546003,50000,"[0, 4, 12, 7, 10, 11, 3, 2, 5, 18, 13, 6, 16, 19, 17, 9, 8, 1, 14, 15, 0]"
Recherche Recuit-Simulé,2397.5691618180367,50000,"[0, 12, 16, 6, 13, 18, 5, 2, 3, 11, 10, 7, 17, 9, 8, 1, 14, 15, 19, 4, 0]"
Recherche Recuit-Simulé,2532.966333691728,50000,"[0, 12, 4, 19, 15, 17, 9, 8, 1, 14, 16, 6, 13, 18, 5, 2, 3, 11, 10, 7, 0]"
Recherche Recuit-Simulé,2722.0463781661606,50000,"[0, 12, 7, 6, 16, 4, 17, 9, 8, 1, 14, 15, 19, 13, 18, 5, 2, 3, 11, 10, 0]"
Recherche Recuit-Simulé,2674.2435577428723,50000,"[0, 12, 6, 16, 4, 19, 15, 14, 17, 1, 9, 8, 18, 13, 5, 2, 3, 11, 10, 7, 0]"
Recherche Recuit-Simulé,2374.269969969743,50000,"[0, 4, 15, 14, 1, 8, 9, 17, 19, 12, 7, 10, 11, 3, 2, 5, 18, 13, 6, 16, 0]"
Recherche Recuit-Simulé,2411.6706062765265,50000,"[0, 15, 17, 9, 8, 1, 14, 19, 16, 6, 13, 18, 5, 2, 3, 11, 10, 7, 12, 4, 0]"
Recherche Recuit-Simulé,2366.202291476016,50000,"[0, 12, 7, 10, 2, 11, 3, 18, 13, 5, 6, 16, 19, 17, 9, 8, 1, 14, 15, 4, 0]"
Recherche Recuit-Simulé,2735.618121556256,50000,"[0, 16, 6, 5, 13, 18, 17, 9, 8, 1, 14, 15, 19, 4, 7, 10, 11, 3, 2, 12, 0]"
Recherche Recuit-Simulé,2674.004748524016,50000,"[0, 7, 10, 11, 3, 2, 5, 18, 13, 6, 17, 9, 8, 1, 14, 15, 19, 4, 16, 12, 0]"
Recherche Recuit-Simulé,2426.767804352899,50000,"[0, 7, 6, 10, 11, 3, 2, 5, 18, 13, 16, 12, 19, 15, 14, 1, 8, 9, 17, 4, 0]"
Recherche Recuit-Simulé,2380.117166177699,50000,"[0, 15, 14, 1, 8, 9, 17, 19, 4, 16, 6, 5, 13, 18, 3, 11, 2, 10, 7, 12, 0]"
Recherche Recuit-Simulé,2459.596238296272,50000,"[0, 4, 12, 16, 6, 7, 10, 11, 3, 2, 5, 18, 13, 19, 15, 14, 1, 8, 9, 17, 0]"
Recherche Recuit-Simulé,2458.802739877139,50000,"[0, 15, 14, 1, 8, 9, 17, 16, 13, 18, 5, 2, 3, 11, 10, 6, 7, 12, 19, 4, 0]"
Recherche Recuit-Simulé,2380.7094480221576,50000,"[0, 4, 15, 14, 1, 8, 9, 17, 19, 16, 13, 18, 5, 2, 3, 11, 10, 6, 7, 12, 0]"
Recherche Recuit-Simulé,2523.72139079962,50000,"[0, 7, 16, 6, 10, 3, 11, 2, 5, 18, 13, 12, 19, 14, 1, 8, 9, 17, 15, 4, 0]"
Recherche Recuit-Simulé,2568.40299291648,50000,"[0, 7, 10, 3, 11, 2, 5, 18, 13, 16, 6, 12, 4, 15, 17, 8, 1, 9, 14, 19, 0]"
Recherche Recuit-Simulé,2552.615184555764,50000,"[0, 15, 1, 8, 9, 17, 14, 19, 4, 12, 5, 13, 18, 3, 11, 2, 10, 7, 6, 16, 0]"
Recherche Recuit-Simulé,2583.4873410171176,50000,"[0, 17, 8, 9, 1, 14, 15, 4, 19, 5, 18, 13, 3, 11, 2, 10, 7, 6, 16, 12, 0]"
Recherche Recuit-Simulé,2725.596917203807,50000,"[0, 12, 3, 11, 2, 10, 6, 7, 16, 13, 18, 5, 14, 9, 8, 1, 17, 15, 19, 4, 0]"
Recherche Recuit-Simulé,2504.180302861575,50000,"[0, 12, 7, 13, 18, 5, 2, 3, 11, 10, 6, 16, 19, 4, 15, 14, 17, 9, 8, 1, 0]"
Recherche Recuit-Simulé,2720.158649726847,50000,"[0, 12, 7, 10, 11, 3, 2, 16, 18, 13, 5, 6, 19, 9, 8, 14, 1, 17, 15, 4, 0]"
Recherche Recuit-Simulé,2580.057774625008,50000,"[0, 15, 17, 9, 8, 1, 14, 19, 4, 10, 7, 6, 3, 11, 2, 5, 13, 18, 16, 12, 0]"
Recherche Recuit-Simulé,2464.6844819647567,50000,"[0, 16, 13, 18, 5, 2, 3, 11, 10, 7, 6, 12, 19, 14, 1, 9, 8, 17, 15, 4, 0]"
Recherche Recuit-Simulé,2550.8125785859984,50000,"[0, 4, 19, 15, 14, 1, 17, 9, 8, 16, 6, 13, 18, 5, 3, 2, 11, 10, 7, 12, 0]"
Recherche aléatoire,4062.355555403295,5000,"[0, 14, 8, 1, 9, 17, 4, 6, 5, 2, 12, 15, 7, 19, 16, 3, 11, 13, 18, 10, 0]"
Recherche aléatoire,3869.269634497929,5000,"[0, 12, 3, 2, 4, 19, 8, 9, 1, 14, 6, 13, 18, 5, 16, 11, 10, 7, 17, 15, 0]"
Recherche aléatoire,4341.187133775816,5000,"[0, 15, 14, 19, 3, 7, 10, 18, 13, 5, 11, 8, 1, 17, 9, 4, 16, 12, 6, 2, 0]"
Recherche Recuit-Simulé,2829.4574117110974,50000,"[0, 12, 16, 6, 5, 18, 13, 19, 15, 17, 9, 8, 1, 14, 4, 7, 10, 11, 3, 2, 0]"
Recherche Recuit-Simulé,2792.131652768505,5000,"[0, 14, 1, 8, 9, 17, 10, 11, 3, 2, 5, 18, 13, 16, 6, 7, 12, 19, 15, 4, 0]"
Recherche Recuit-Simulé,2708.345562418735,5000,"[0, 11, 3, 2, 5, 18, 13, 16, 6, 10, 7, 17, 9, 8, 1, 14, 15, 19, 4, 12, 0]"
Recherche Recuit-Simulé,2398.788990017186,5000,"[0, 4, 19, 17, 9, 8, 1, 14, 15, 12, 16, 6, 13, 18, 5, 2, 3, 11, 10, 7, 0]"
Recherche aléatoire,4977.625274643919,100,"[0, 12, 17, 3, 13, 6, 11, 2, 18, 1, 8, 9, 14, 19, 10, 16, 4, 7, 5, 15, 0]"
Recherche aléatoire,3715.005191730607,5000,"[0, 13, 10, 7, 6, 5, 18, 11, 2, 3, 17, 9, 1, 14, 8, 4, 15, 19, 16, 12, 0]"
Recherche aléatoire,5149.786781467244,100,"[0, 9, 4, 14, 15, 17, 1, 3, 18, 8, 19, 10, 11, 2, 16, 13, 6, 5, 12, 7, 0]"
